Datetime,beaconid,edgenodeid,rssi,realx,realy,distance,isSameRoom
2019-04-12T12:20:15.000000Z,3,50,-72.2,1.98857142857143,5.22542857142857,3.0056016172528,1
2019-04-12T12:20:15.000000Z,3,53,-70.75,1.98857142857143,5.22542857142857,5.98566345017622,1
2019-04-12T12:20:15.000000Z,3,51,-63.6666666666667,1.98857142857143,5.22542857142857,2.67850522203893,1
2019-04-12T12:20:15.000000Z,3,58,-60.5,1.98857142857143,5.22542857142857,3.12139400111618,1
2019-04-12T12:20:15.000000Z,3,57,-71.5,1.98857142857143,5.22542857142857,3.67571358614174,1
2019-04-12T12:20:15.000000Z,3,56,-75.6666666666667,1.98857142857143,5.22542857142857,6.60609106995126,1
2019-04-12T12:20:15.000000Z,3,52,-69.3333333333333,1.98857142857143,5.22542857142857,5.22563610032896,1
2019-04-12T12:20:15.000000Z,3,55,-75,1.98857142857143,5.22542857142857,8.10026779602668,1
2019-04-12T12:20:15.000000Z,3,54,-75.25,1.98857142857143,5.22542857142857,9.6412889444412,1
2019-04-12T12:20:15.500000Z,3,52,-65.6666666666667,1.84714285714286,4.99185714285714,4.99275831702726,1
2019-04-12T12:20:15.500000Z,3,57,-68,1.84714285714286,4.99185714285714,3.92086712868676,1
2019-04-12T12:20:15.500000Z,3,58,-83,1.84714285714286,4.99185714285714,3.19288526673456,1
2019-04-12T12:20:15.500000Z,3,54,-76.6666666666667,1.84714285714286,4.99185714285714,9.63741761710733,1
2019-04-12T12:20:15.500000Z,3,51,-64,1.84714285714286,4.99185714285714,2.41830762209898,1
2019-04-12T12:20:15.500000Z,3,53,-74,1.84714285714286,4.99185714285714,5.8555515695512,1
2019-04-12T12:20:15.500000Z,3,50,-68,1.84714285714286,4.99185714285714,3.15429159549141,1
2019-04-12T12:20:15.500000Z,3,55,-77,1.84714285714286,4.99185714285714,8.20517684396968,1
2019-04-12T12:20:15.500000Z,3,56,-75,1.84714285714286,4.99185714285714,6.83243739489079,1
2019-04-12T12:20:16.000000Z,3,55,-72.6,1.70571428571429,4.75828571428571,8.31772991990051,1
2019-04-12T12:20:16.000000Z,3,58,-67.2,1.70571428571429,4.75828571428571,3.28558175198542,1
2019-04-12T12:20:16.000000Z,3,54,-66.5,1.70571428571429,4.75828571428571,9.64128100663909,1
2019-04-12T12:20:16.000000Z,3,51,-54.8,1.70571428571429,4.75828571428571,2.16128401461648,1
2019-04-12T12:20:16.000000Z,3,53,-70.5,1.70571428571429,4.75828571428571,5.73549620649285,1
2019-04-12T12:20:16.000000Z,3,50,-68.6666666666667,1.70571428571429,4.75828571428571,3.31882285807262,1
2019-04-12T12:20:16.000000Z,3,56,-72.25,1.70571428571429,4.75828571428571,7.06208733957863,1
2019-04-12T12:20:16.000000Z,3,52,-66,1.70571428571429,4.75828571428571,4.7641488093416,1
2019-04-12T12:20:16.000000Z,3,57,-71.6666666666667,1.70571428571429,4.75828571428571,4.16948953954896,1
2019-04-12T12:20:16.500000Z,3,56,-71,1.56428571428571,4.52471428571429,7.29472890069905,1
2019-04-12T12:20:16.500000Z,3,54,-76.5,1.56428571428571,4.52471428571429,9.65286982599222,1
2019-04-12T12:20:16.500000Z,3,50,-72,1.56428571428571,4.52471428571429,3.49696013178093,1
2019-04-12T12:20:16.500000Z,3,52,-67.6666666666667,1.56428571428571,4.52471428571429,4.54045233968815,1
2019-04-12T12:20:16.500000Z,3,55,-74,1.56428571428571,4.52471428571429,8.43762112838224,1
2019-04-12T12:20:16.500000Z,3,57,-76,1.56428571428571,4.52471428571429,4.42099562385244,1
2019-04-12T12:20:16.500000Z,3,58,-73.6666666666667,1.56428571428571,4.52471428571429,3.39774835406494,1
2019-04-12T12:20:16.500000Z,3,51,-56,1.56428571428571,4.52471428571429,1.90871703892795,1
2019-04-12T12:20:16.500000Z,3,53,-69.3333333333333,1.56428571428571,4.52471428571429,5.62614118129262,1
2019-04-12T12:20:17.000000Z,3,56,-80,1.42285714285714,4.29114285714286,7.53008480587526,1
2019-04-12T12:20:17.000000Z,3,51,-52.5,1.42285714285714,4.29114285714286,1.66263892161632,1
2019-04-12T12:20:17.000000Z,3,58,-74,1.42285714285714,4.29114285714286,3.52752825817808,1
2019-04-12T12:20:17.000000Z,3,54,-82,1.42285714285714,4.29114285714286,9.67215630623518,1
2019-04-12T12:20:17.000000Z,3,55,-74,1.42285714285714,4.29114285714286,8.56454230522328,1
2019-04-12T12:20:17.000000Z,3,57,-67,1.42285714285714,4.29114285714286,4.67491998840185,1
2019-04-12T12:20:17.000000Z,3,53,-76.3333333333333,1.42285714285714,4.29114285714286,5.52812153946547,1
2019-04-12T12:20:17.000000Z,3,52,-62.75,1.42285714285714,4.29114285714286,4.32243176077201,1
2019-04-12T12:20:17.000000Z,3,50,-79,1.42285714285714,4.29114285714286,3.68673167851795,1
2019-04-12T12:20:17.500000Z,3,57,-73.25,1.28142857142857,4.05757142857143,4.93088904721232,1
2019-04-12T12:20:17.500000Z,3,53,-63.5,1.28142857142857,4.05757142857143,5.44204981826607,1
2019-04-12T12:20:17.500000Z,3,55,-70.75,1.28142857142857,4.05757142857143,8.69818571863802,1
2019-04-12T12:20:17.500000Z,3,58,-65.3333333333333,1.28142857142857,4.05757142857143,3.67305494827687,1
2019-04-12T12:20:17.500000Z,3,56,-75.3333333333333,1.28142857142857,4.05757142857143,7.76790833743393,1
2019-04-12T12:20:17.500000Z,3,52,-53.75,1.28142857142857,4.05757142857143,4.11099021042426,1
2019-04-12T12:20:17.500000Z,3,54,-77.75,1.28142857142857,4.05757142857143,9.69909452748354,1
2019-04-12T12:20:17.500000Z,3,51,-55,1.28142857142857,4.05757142857143,1.42641191062593,1
2019-04-12T12:20:17.500000Z,3,50,-65,1.28142857142857,4.05757142857143,3.88643359413649,1
2019-04-12T12:20:18.000000Z,3,51,-53.75,1.139,3.6022,1.15179444346637,1
2019-04-12T12:20:18.000000Z,3,54,-75,1.139,3.6022,9.64956728770778,1
2019-04-12T12:20:18.000000Z,3,58,-76.5,1.139,3.6022,3.86383685473391,1
2019-04-12T12:20:18.000000Z,3,52,-63.5,1.139,3.6022,3.69061699990666,1
2019-04-12T12:20:18.000000Z,3,50,-65.5,1.139,3.6022,4.3142986498387,1
2019-04-12T12:20:18.000000Z,3,55,-81,1.139,3.6022,8.84368417798827,1
2019-04-12T12:20:18.000000Z,3,56,-76.5,1.139,3.6022,8.12470178160405,1
2019-04-12T12:20:18.000000Z,3,53,-67.5,1.139,3.6022,5.21355980497011,1
2019-04-12T12:20:18.000000Z,3,57,-83,1.139,3.6022,5.33465704989552,1
2019-04-12T12:20:18.500000Z,3,51,-59.25,1.138,3.3804,1.13912438302408,1
